,name,username,description,location,followers,numberstatuses,time,tweets,Label,url,lang,mentions,hashtags
1731,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392,743,28/1/2016 16:00,"#kweries west:
T62 #Syria army tank ended up with its complete destruction via Kornet ATGM. #ISIS ",P,['https://t.co/os8WcWviaa'],en,[],"['#kweries', '#Syria', '#ISIS']"
4241,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,28871,16838,12/2/2016 19:00, Very old. From 2014  ,O,['https://t.co/dIcMvA9uY3'],en,"['@NorthernStork', '@SharefSarmada']",[]
10982,كتكات كوكونة,Uncle_SamCoco,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","Texas, USA",1707,4992,6/4/2016 19:00,  Moi je suis là ,,['https://t.co/ga2tOf05WU'],en,"['@lan_atharan', '@Qarass_news']",[]
1863,Abu_Azzam25,Abu_Azzzam25,,,35,118,29/1/2016 19:00,RT : Plz make dua 2 keep #FreeAnjemChoudhary &amp; #FreeAbuBaraa. They're both due to start trial today. #FreeMuslimPrisoners h…,O,[],en,['@MuslimPrisoners'],"['#FreeAnjemChoudhary', '#FreeAbuBaraa', '#FreeMuslimPrisoners']"
1392,Mohamed Naseem,NaseemAhmed50,"Journalist ,Seeking and spreading the truth.",Male'. Maldives.,2121,4992,21/1/2016 8:00,RT : When you try to liberate Palestine with hashtags and boycott: ,O,['https://t.co/DDfJ7J2qpx'],en,['@QassamiMarwan'],[]
1530,أبو أسامة الصومالي,CXaafada2,Degree from Tableeq(UK) | Masters from Alshabaab(Somalia) | PhD Research Fellow at Islamic State(Yemen). #IslamicState #IslamicPolitics   #Somalia #Yemen,Wilayat Hadramaut,866,370,25/1/2016 8:00,O my beloved brothers and sisters in Islam why live with kufars and be humiliated when its easier for you to make Hijrah? FEAR ALLAH.,O,[],en,[],[]
1933,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392,743,30/1/2016 8:00,"Hot:
Heavy losses to #Assad army as BMP vbied struck their positions in Hawqia Rashidya territory #Syria .
#ISIS",N,[],en,[],"['#Assad', '#Syria', '#ISIS']"
1198,JOIN IS NATION,JoinISNation102,"I'm back for those who miss me :) Follow Spread & Retweet the news of our Great IS Nation of Khilafah & it's conquests 4 the Free World Lovers
☆Sisters no DM☆",,873,91,16/1/2016 15:00,"Targeting the PKK elements in the village of Rumailah West Area of Ain ISA with gernads spg9 shells

#Breakingnews ",N,['https://t.co/7pqv8WLITa'],en,[],['#Breakingnews']
1668,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,29209,16688,27/1/2016 21:00,#ISIS is advancing into #Arsal #Lebanon..,N,[],en,[],"['#ISIS', '#Arsal', '#Lebanon']"
1420,أبو أسامة الصومالي,CXaafada2,Degree from Tableeq(UK) | Masters from Alshabaab(Somalia) | PhD Research Fellow at Islamic State(Yemen). #IslamicState #IslamicPolitics   #Somalia #Yemen,Wilayat Hadramaut,866,370,22/1/2016 17:00,#Kenya-n fallen 'heroes'. The fate of niggers who fight a proxy war for their masters-The West. #KDF ,P,['https://t.co/f3A6MZBnNZ'],en,[],"['#Kenya', '#KDF']"
1800,Marwan Qassami,QassamiMarwan,"Humanitarian, social entrepreneur, Independent media activist. Father of two lovely girls. Nature lover. With a focus on the Middle East, and North Africa.","Antas, Bahia",1593,908,29/1/2016 12:00,RT : Islamic State is a creation of the united states &amp; the CIA &amp; Mossad &amp; the reptilian &amp; King of Jupiter &amp; My cat.. https://t…,P,[],en,['@BarbeCourte'],[]
2019,Al-Battar English,Al_Battar_Engl,,,117,144,30/1/2016 19:00,"#IslamicState
#WilayatNinawa
Tour at #AdDawasat Street in  #Mosul 
#Caliphate_News
 ",P,"['https://t.co/wfBfBSwCpM', 'https://t.co/aefzhBZ7KJ']",en,[],"['#IslamicState', '#WilayatNinawa', '#AdDawasat', '#Mosul', '#Caliphate_News']"
9143,NEW SHOUTOUT,Baqiyah_Khilafa,FOR SUPPORTERS OF KHILAFAH,,191,169,24/3/2016 14:00,#BRUSSELS ATTACKS     ,,['https://t.co/cwgw4A9ANh'],en,"['@SkyNews', '@Cnn', '@BbcNews', '@Conflicts']",['#BRUSSELS']
1728,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,29209,16688,28/1/2016 15:00,Funny how #USA allows #Houthis to shoot down #Saudi aircarfts in #Yemen using SAMs but denies Saudi to supply #Syria|ns rebels with MANPADS!,O,[],en,[],"['#USA', '#Houthis', '#Saudi', '#Yemen', '#Syria']"
11619,Jazrawi_Saraqib,Jazrawi_Saraqib,,,955,254,8/4/2016 18:00,"RT : F


",,[],en,"['@__alfresco__', '@wayf44rerr', '@wayf44rerr', '@wayf44rerr']",[]
456,al-Nusra,al_nusra,,,350,190,19/10/2015 0:00,🔴IMPORTANT #Anbar | the Iraqi army lost dozens of soldiers in a failed attack on IS positions #west of Ramadi,N,[],en,[],"['#Anbar', '#west']"
1796,s.o.dawlah,1Dawlah_III,,,632,333,29/1/2016 12:00,"#WilayatSalahuddin
Picture west of the city of Tikrit. 📷  ",P,"['https://t.co/aQ5rqAyipO', 'https://t.co/1WCZ2pv8hF']",en,[],['#WilayatSalahuddin']
2050,Abu Naseeha,AbuNaseeha_03,,Wilayah Twitter,1016,487,30/1/2016 20:00,"RT : 📷| Friday prayers at a mosque at the area of #Zawba
 

#Muslims #IslamicState #WorldNews #IS htt…",P,['https://t.co/LiVBhJXl2q'],en,['@AbuHurairah_39'],"['#Zawba', '#Muslims', '#IslamicState', '#WorldNews', '#IS']"
1956,War BreakingNews,warrnews,we provide fresh news from every battlefield,world,7152,5929,30/1/2016 10:00,#Breaking highest battalion 1 airbone soldier killed in clashes with #ISIS in east #Aleppo. ,N,['https://t.co/8PCvlxXpKy'],en,[],"['#Breaking', '#ISIS', '#Aleppo']"
1749,Marwan Qassami,QassamiMarwan,"Humanitarian, social entrepreneur, Independent media activist. Father of two lovely girls. Nature lover. With a focus on the Middle East, and North Africa.","Antas, Bahia",1593,908,28/1/2016 19:00,"The US led coalition was able to recapture #Beiji refinery.
No the US led coalition was able to recapture its ruins:
",N,['https://t.co/9NHmJ7XKZ7'],en,[],['#Beiji']
141,IS_BAQIYA,BaqiyaIs,,,25,471,5/9/2015 13:00,el that had interview with Jowlani /s/lw9o,,['http://t.co/zBqJFqjTWC'],en,[],[]
1449,s.o.dawlah,1Dawlah_III,,,632,333,22/1/2016 22:00,"#WilayatAlBarakah
🔧⚡Repairing the power lines in the city of Shaddadi. 📷|  ",N,"['https://t.co/TbuKh2JOvT', 'https://t.co/SXYnmJWEc8']",en,[],['#WilayatAlBarakah']
406,Abu Hanzalah,abuhanzalah10,''Fighting has Just begun'',,128,47,8/10/2015 20:00,        #dieinyourrage lol,O,[],en,"['@CarolinaJose19', '@ninjamelonn', '@taylor_davis11', '@RSyrianCivilWar', '@krrisstenx3', '@wtfbrou', '@KatieLobosco', '@G_BeEazy']",['#dieinyourrage']
771,Asim Abu Merjem,AsimAbuMerjem,"Servant of Allah, in need of Allah's mercy !!!",,742,348,26/12/2015 17:00,"  Yes. Best method to stop people doing bad things are these sanctions. God created us, He know our nature best",O,[],en,"['@LaDonnaRae53', '@iyad_elbaghdadi']",[]
1497,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392,743,24/1/2016 8:00,"  Congragulate for being as Chief of #BJP again, v expect u a very hard stand against weak #Pakistan &amp; its terorist army",O,[],en,"['@AmitShah', '@BJPGujarat']","['#BJP', '#Pakistan']"
1561,s.o.dawlah,1Dawlah_III,,,632,333,26/1/2016 0:00,"#WilayatAlFallujah 
🌇 Sunset in the city of Fallujah. 📷  ",O,"['https://t.co/H4VOvzFeE7', 'https://t.co/lmVHRZGym8']",en,[],['#WilayatAlFallujah']
1634,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392,743,27/1/2016 9:00,"#Anbar #Iraq :
Photos f two col recently killed by #ISIS ",N,['https://t.co/grC8mJTOdU'],en,[],"['#Anbar', '#Iraq', '#ISIS']"
1732,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392,743,28/1/2016 16:00,"One f #YPG militants during VICE news interview at #Sinjar telling ""We can fight for americans anywhere they want us if they give us 💰 &amp; 🔫s""",P,[],en,[],"['#YPG', '#Sinjar']"
1360,s.o.dawlah,1Dawlah_III,,,632,333,20/1/2016 5:00,"#WilayatArRaqqah 
Explaining the reality of scholar of thawaghit to Muslims in Hazimah. 📷  ",P,"['https://t.co/fXiNJFamIR', 'https://t.co/srcEceXST0']",en,[],['#WilayatArRaqqah']
1976,War BreakingNews,warrnews,we provide fresh news from every battlefield,world,7152,5929,30/1/2016 14:00,"Ceiling collapses on Palestinians during funeral for Hamas tunnel diggers 

Problems appear to be coming in... ",O,['https://t.co/8ShcnzB556'],en,[],[]
1797,Marwan Qassami,QassamiMarwan,"Humanitarian, social entrepreneur, Independent media activist. Father of two lovely girls. Nature lover. With a focus on the Middle East, and North Africa.","Antas, Bahia",1593,908,29/1/2016 12:00,RT : #Anbar : Iraqi Sahwa commander Isa Hamid al-Alwani died after being wounded by an IED explosion in central #Ramadi https://…,N,[],en,['@wayf44rer_'],"['#Anbar', '#Ramadi']"
2033,War BreakingNews,warrnews,we provide fresh news from every battlefield,world,7152,5929,30/1/2016 20:00,Seriously? ,O,['https://t.co/AVu19zanMS'],en,[],[]
1810,Al-Battar English,Al_Battar_Engl,,,117,144,29/1/2016 15:00," 

2/2

 

#Caliphate_News",O,['https://t.co/qM9hNuANNv'],en,['@Al_Battar_Engl'],['#Caliphate_News']
1900,Al-Battar English,Al_Battar_Engl,,,117,144,29/1/2016 22:00," the area of #AlAdhiem

",,['https://t.co/waMUf1gIJj'],en,['@Al_Battar_Engl'],['#AlAdhiem']
217,ابو الدرداء #خلافة,YazeedDhardaa25,Observing a JIHAD NEWS mainly about Islamic State.,,823,127,15/9/2015 14:00,RT : No need to worry about #Russia|n 'invasion' in #Syria. One Friday sermon in #Mecca declaring 'Defensive Jihad' is more tha…,O,[],en,['@RamiAlLolah'],"['#Russia', '#Syria', '#Mecca']"
1453,Mohamed Naseem,NaseemAhmed50,"Journalist ,Seeking and spreading the truth.",Male'. Maldives.,2121,4992,23/1/2016 7:00,My best RTs this week came from:   #thankSAll Who were yours? ,,['https://t.co/81yvekAHba'],en,"['@dhivehistan', '@mahatmadeen3237']",['#thankSAll']
12649,Dragontail2,saifulakhir,hater please dont follow,"Singaparna, Indonesia",35,243,15/4/2016 13:00,"(2 CANADIAN, A NORWEGIAN AND A FILIPINO) THAT THEY WILL BE BEHEADING ONE OF THE HOSTAGES IF THEIR DEMAND WILL NOT BE MET BY THEIR RESPECTIVE",P,[],en,[],[]
492,The Witnesser,Bajwa47online,"The Dust Will Never Settle Down  
                   
                                                   
(Abu Talhah)",,427,1953,25/10/2015 7:00,RT : #Putin just before downing 'wanna-be ISIS Arab Israeli' with karate chop to the face in hang-glider duel over Syria https:/…,P,[],en,['@finriswolf'],['#Putin']
1405,Maisara al-Ghereeb,maisaraghereeb,"Jihad is not terrorism, it's written in the Qur'an.",EU,197,1561,21/1/2016 20:00,"RT : IMAGE: Surface-to-surface missile fired at al-Bab city, #Aleppo, by pro-#Assad #Russian occupation forces. https://t.co…",N,[],en,['@HadiAlabdallah'],"['#Aleppo', '#Assad', '#Russian']"
2027,Al-Battar English,Al_Battar_Engl,,,117,144,30/1/2016 20:00," 
2/2
 on the road between the towns of #El_Arish and #Sheikh_zwayd



#Caliphate_News",P,['https://t.co/IhR8psNHry'],en,['@Al_Battar_Engl'],"['#El_Arish', '#Sheikh_zwayd', '#Caliphate_News']"
469,The Witnesser,Bajwa47online,"The Dust Will Never Settle Down  
                   
                                                   
(Abu Talhah)",,427,1953,21/10/2015 18:00,"  in my regional language, khusra means: Gay",O,[],en,"['@Jazrawi_3ooud', '@Muhammad_Andals']",[]
12,GunsandCoffee,GunsandCoffee70,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,,640,49,22/1/2015 20:00,ENGLISH TRANSLATION- SHEIKH ABU HASAN AL KUWAITI (HA) ADVICE OF NABI S.A.W TO THE MUJAHIDEEN:  ,P,"['https://t.co/QcKBdeCdty', 'http://t.co/SUDbVtQtTG']",en,[],[]
1944,War BreakingNews,warrnews,we provide fresh news from every battlefield,world,7152,5929,30/1/2016 9:00,Family in #Tunisia threatening to commit suicide because of unemployment and poverty ,N,['https://t.co/bN0QQKsk4x'],en,[],['#Tunisia']
1773,الولاء البراء,Alwala_bara,we hear & we obey..& those are the successful .. [24:51],أسير الدنيا,411,232,29/1/2016 8:00,"RT : Aamaq:
School &amp; mosque destroyed in coalition bombardment west of #Fallujah.. #IslamicState
 https://t.c…",P,['https://t.co/4xBFYvb8dQ'],en,['@apb_is'],"['#Fallujah', '#IslamicState']"
1648,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,29209,16688,27/1/2016 17:00,#ISIS takes full control on ALGECO residential complex west of #Samarra according to #Aamaq news agency.. #Iraq,P,[],en,[],"['#ISIS', '#Samarra', '#Aamaq', '#Iraq']"
13007,wayf44rer,wayf44rerr,News of Maghreb and Mashreq,Middle of Nowhere,1138,324,19/4/2016 19:00, lovely,O,[],en,['@Adamqamish3'],[]
1363,abdlrhmn,abdlrhmn15,Do And Die only for ISLAM,,24,144,20/1/2016 9:00,"RT : Live: Terrorist attack at Bacha Khan University in #Pakistan; 3000 students trapped
",N,['https://t.co/XaIzhga7FG'],en,['@abpnewstv'],['#Pakistan']
1501,Mohamed Naseem,NaseemAhmed50,"Journalist ,Seeking and spreading the truth.",Male'. Maldives.,2121,4992,24/1/2016 12:00,"Massive blizzard paralyzes New York and Washington, 19 dead  via ",N,['https://t.co/PUYQStdi5g'],en,['@Reuters'],[]
2901,Abu Humayra,abuhumayra4,‏إِنَّ صَلَاتِي وَنُسُكِي وَمَحْيَايَ وَمَمَاتِي لِلَّهِ رَبِّ الْعَالَمِينَ,Among The Muslims,166,129,4/2/2016 17:00,"RT : 😍
",,['https://t.co/XSDQjXzcnf'],en,['@scent_of_musk'],[]
1893,Al-Battar English,Al_Battar_Engl,,,117,144,29/1/2016 22:00,"Reports: Tens of Assadist fighters killed as violent fighting ongoing inside Deir Ezzor airbase

#Caliphate_News",P,[],en,[],['#Caliphate_News']
1346,s.o.dawlah,1Dawlah_III,,,632,333,20/1/2016 2:00,"#WilayatDimashq
🔫 Terminating two Nusayris agents in the city of al-Qarytain. 📷  ",P,"['https://t.co/eXMQ18Iwh3', 'https://t.co/VUDxCMTqCw']",en,[],['#WilayatDimashq']
239,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362,798,23/9/2015 14:00,  nice to hear that!,O,[],en,"['@WakasFahad10', '@lionerr20']",[]
1299,s.o.dawlah,1Dawlah_III,,,632,333,19/1/2016 6:00,"#WilayatAlJazirah 
The work of Service Center in the town of Mahlabiyyah. 📷  ",N,"['https://t.co/OjlheWhFuK', 'https://t.co/3sBzsFe2Cl']",en,[],['#WilayatAlJazirah']
8065,الهنود الحمر كوكونة,Uncle_SamCoco,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","Texas, USA",1557,4010,17/3/2016 0:00, ,,['https://t.co/ijTXYqMAX4'],en,['@A_Mehdi_The'],[]
1549,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392,743,25/1/2016 18:00,"Hey  and  plz turn to true christianity at least!
B a christian at least not a corporate ",O,['https://t.co/EFY4HxG7g4'],en,"['@BarackObama', '@realDonaldTrump']",[]
1852,٩ Flames of Haqq,Witness_alHaqq,,,605,115,29/1/2016 18:00,"RT : Retweeted Cairo Review ():

Read 's profile of ISIS leader Abu Bakr Al-Baghdadi:... https://…",P,[],en,"['@abdelbariatwan', '@CairoReview', '@abdelbariatwan']",[]
1308,abdlrhmn,abdlrhmn15,Do And Die only for ISLAM,,24,144,19/1/2016 10:00,RT : It is more rewarding this way. Make dua. Speak to Allah swt ,O,['https://t.co/LDjebBrvZa'],en,['@Ayisha_Bengali_'],[]
1688,s.o.dawlah,1Dawlah_III,,,632,333,28/1/2016 5:00,"#WilayatHims 
📰 Distributing An Naba' newsletter to citizen in the city of Sukhnah. 📷  ",P,"['https://t.co/qCeGk1nfE5', 'https://t.co/UeCuWsKgRI']",en,[],['#WilayatHims']
1302,Maghrabi Arabie,MaghrabiArabi,"I'm not a terrorist , just an Islamic Analyst watching events in the ME. Not affiliated with IS or AlQaeda",Dunya,158,607,19/1/2016 7:00,  I see you are shi3iya don't talk to me ever again have nice day.,O,[],en,"['@AliraqiaAngel', '@Reuters']",[]
4065,Ansar al-Khilafah,ansarakhilafa,,,651,86,11/2/2016 22:00,"PLEASE BLOCK &amp; REPORT....
⬇️⬇️⬇️⬇️




",,"['https://t.co/fiGhPuTzb0', 'https://t.co/cogZNieFmK']",en,"['@infosensible57', '@infosensible57']",[]
1300,Mohamed Naseem,NaseemAhmed50,"Journalist ,Seeking and spreading the truth.",Male'. Maldives.,2121,4992,19/1/2016 6:00,"I have 43 new followers from Indonesia, and more last week. See  ",O,"['https://t.co/5KlvSQHAd8', 'https://t.co/vL4ZMMLMyD']",en,[],[]
1450,Asim Abu Merjem,AsimAbuMerjem,"Servant of Allah, in need of Allah's mercy !!!",,742,348,22/1/2016 23:00,"RT : UNBELIEVABLE destruction
Israel wipe out an entire residential neighborhood in #Gaza - war crimes
MUST WATCH &amp; SHARE htt…",N,[],en,['@BaselAbuwarda'],['#Gaza']
4219,PROPHET'S KHILĀFA,Battar_English,,,137,148,12/2/2016 19:00,RT : ,,['https://t.co/eHbnaLDJXP'],en,['@BatInfo147'],[]
5295,Khilafah Superstate,ks48a174031,48 Account,,69,17,23/2/2016 13:00,"RT : ASSALAAM ALAYKUM .

SUPORT AND RETWEET :







…",,[],en,"['@hajar_cantlie', '@xissyi', '@DriftOne071', '@atruaz181', '@_Muslimah_007', '@News_tracker_', '@mustafaklash52']",[]
3206,Asim Abu Merjem,AsimAbuMerjem,"Servant of Allah, in need of Allah's mercy !!!",,742,348,5/2/2016 21:00, ,,[],en,"['@MiddleEastEye', '@warrnews']",[]
1455,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392,743,23/1/2016 10:00,"Breaking:Hot:
#Anbar West #Ramadi kilo70:
70 #Iraq soldiers killed in deadliest bombing f #ISIS .",N,[],en,[],"['#Anbar', '#Ramadi', '#Iraq', '#ISIS']"
12099,Mohamed Naseem,NaseemAhmed50,"Former journalist ,Seeking and spreading the truth.",Male'. Maldives.,2230,5241,12/4/2016 17:00, I am from Maldives.,O,[],en,['@Abu_Air_Craft1'],[]
1678,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,29209,16688,27/1/2016 22:00,#BreakingNews First #video footage of the crashed #Egypt|ian F-16 jet on the runway of airbase near #Ismailia ,N,['https://t.co/ZUfw6UqqHg'],en,[],"['#BreakingNews', '#video', '#Egypt', '#Ismailia']"
1711,الولاء البراء,Alwala_bara,we hear & we obey..& those are the successful .. [24:51],أسير الدنيا,411,232,28/1/2016 12:00,RT : More Women then ever travels with their children to live in #IS Caliphate after they are convinced. #Pakistan #India https:/…,P,[],en,['@abotalut4'],"['#IS', '#Pakistan', '#India']"
10322,كتكات كوكونة,Uncle_SamCoco,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","Texas, USA",1670,4705,31/3/2016 20:00,"    Please foolding me, TAKE ME OUTSIDE OF YOUR DIALOGUE THANKS !",O,[],en,"['@2fast2igor', '@JanJansenBeast', '@DeriChaw', '@YusuF90192469']",[]
1639,Abu Humayra,abuhumayra4,‏إِنَّ صَلَاتِي وَنُسُكِي وَمَحْيَايَ وَمَمَاتِي لِلَّهِ رَبِّ الْعَالَمِينَ,Among The Muslims,193,103,27/1/2016 13:00,"RT : The Prophet ﷺ:
A woman was created from a rib and if you try to straighten a rib it will break, so treat women kindly.…",O,[],en,['@UmmUbaydullah17'],[]
950,Maghrabi Arabie,MaghrabiArabi,"I'm not a terrorist , just an Islamic Analyst watching events in the ME. Not affiliated with IS or AlQaeda",Dunya,158,607,5/1/2016 22:00,RT : The Islamic State are working on driverless car bombs. Watch in full at  ,P,"['https://t.co/GI8QBUQMGW', 'https://t.co/xgkCCAHcR8']",en,['@SkyNews'],[]
14923,one who believes,ro34th,"Torah Observant, follower of the Prophet Yeshua the Messiah. husband father granpa average cod/bf player on a ps4 i also take prayer requests just dm me.",dar al-kufr,1423,32986,1/5/2016 17:00,"RT : BREAKING NEWS
Kurdistan Freedom Falcons (TAK) claims responsibility for Thursday's #Bursa suicide bombing which killed one…",N,[],en,['@AylinaKilic'],['#Bursa']
1643,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392,743,27/1/2016 15:00,Supported by VBIED #ISIS assaulted #Iraq forces n north #Fallujah todays morning. Casualties figures unknown. ,N,['https://t.co/wHN58fV6uP'],en,[],"['#ISIS', '#Iraq', '#Fallujah']"
1694,s.o.dawlah,1Dawlah_III,,,632,333,28/1/2016 6:00,"#WilayatNorthBaghdad
📷 | The bombing of the barracks of Safavid army at Siyatak area and complex of Aljiku. ",N,['https://t.co/FBF0NRjWZP'],en,[],['#WilayatNorthBaghdad']
835,Maghrabi Arabie,MaghrabiArabi,"I'm not a terrorist , just an Islamic Analyst watching events in the ME. Not affiliated with IS or AlQaeda",Dunya,158,607,31/12/2015 6:00,"#Morocco plays key role in Europe’s security
 ",,"['https://t.co/4dQJpO7UYz', 'https://t.co/S7o0TJemGb']",en,[],['#Morocco']
1971,Marwan Qassami,QassamiMarwan,"Humanitarian, social entrepreneur, Independent media activist. Father of two lovely girls. Nature lover. With a focus on the Middle East, and North Africa.","Antas, Bahia",1593,908,30/1/2016 13:00,"RT : #Anbar : Iraqi Abrams tank, minesweeper and Humvee were destroyed by several IEDs explosions in Soufiya neighborhood of eas…",N,[],en,['@wayf44rer_'],['#Anbar']
1592,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,29209,16688,26/1/2016 15:00,#Aamaq: Two #Israel|i army helicopters crossed into #Egypt|ian airspace and bombed #ISIS position south Sheikh Zuweid in #Sinai,N,[],en,[],"['#Aamaq', '#Israel', '#Egypt', '#ISIS', '#Sinai']"
2080,Abu Naseeha,AbuNaseeha_03,,Wilayah Twitter,1016,487,31/1/2016 3:00, from 6 min to around 10 minutes,O,[],en,['@AbuNaseeha_03'],[]
690,Asim Abu Merjem,AsimAbuMerjem,"Servant of Allah, in need of Allah's mercy !!!",,742,348,16/12/2015 9:00,"RT : Kerry in Moscow: ""The United States and our partners are not seeking regime change in Syria.”",,[],en,['@MarquardtA'],[]
3416,Abu Humayra,abuhumayra4,‏إِنَّ صَلَاتِي وَنُسُكِي وَمَحْيَايَ وَمَمَاتِي لِلَّهِ رَبِّ الْعَالَمِينَ,Among The Muslims,190,182,6/2/2016 19:00,"RT : 📢


",,[],en,"['@__aldente__', '@lovelyflower212', '@lovelyflower212', '@lovelyflower212']",[]
11770,Plea Of the Ummah!,pleaoftheummah,"Plea of the Ummah!
Ummathuge Aadheys!
A Campaign by Jamiyyathul Bayan.",,93,1073,10/4/2016 6:00,"An eye for an eye, justice is served when Qisas is taken. ",O,['https://t.co/B3Hg0eyBON'],en,[],[]
1912,Marwan Qassami,QassamiMarwan,"Humanitarian, social entrepreneur, Independent media activist. Father of two lovely girls. Nature lover. With a focus on the Middle East, and North Africa.","Antas, Bahia",1593,908,29/1/2016 23:00,"Islamic state group released 6 Christians today, they arrive safely in #qamishli: ",N,['https://t.co/LfGx0CwMZr'],en,[],['#qamishli']
1759,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392,743,28/1/2016 20:00,Some spoils from #Samrra which #ISIS group captured f #Iraq forces. ,P,['https://t.co/PfpVmUucqU'],en,[],"['#Samrra', '#ISIS', '#Iraq']"
1999,Abu Humayra,abuhumayra4,‏إِنَّ صَلَاتِي وَنُسُكِي وَمَحْيَايَ وَمَمَاتِي لِلَّهِ رَبِّ الْعَالَمِينَ,Among The Muslims,193,103,30/1/2016 18:00,"RT : Make sure to check the Hashes

&gt;&gt; 

",,"['https://t.co/JwZG0ZDmDq', 'https://t.co/yYVwb8eOpT']",en,['@AbuNaseeha_03'],[]
1081,Maisara al-Ghereeb,maisaraghereeb,"Jihad is not terrorism, it's written in the Qur'an.",EU,197,1561,12/1/2016 20:00,Shia militias assassinated 2 Sunni journalists in Diyala province,N,[],en,[],[]
1045,Maisara al-Ghereeb,maisaraghereeb,"Jihad is not terrorism, it's written in the Qur'an.",EU,197,1561,11/1/2016 20:00,RT : Shiite militias in #Diyala burning &amp; blowing up four Sunni mosques as of now in retaliation to #ISIS attacks.. #Iraq https…,N,[],en,['@RamiAlLolah'],"['#Diyala', '#ISIS', '#Iraq']"
1608,Maisara al-Ghereeb,maisaraghereeb,"Jihad is not terrorism, it's written in the Qur'an.",EU,197,1561,26/1/2016 20:00,"Lots of Muslims believe Islam is only based on 5 daily prayer, Jummah, Hajj and Ramadan.",O,[],en,[],[]
4225,PROPHET'S KHILĀFA,Battar_English,,,137,148,12/2/2016 19:00,RT : ,,['https://t.co/Hhx9I1LSzc'],en,['@BatInfo147'],[]
1263,Abu_Azzam25,Abu_Azzzam25,,,35,118,17/1/2016 21:00,RT : Hafez #Assad deployed huge arsenal in Ayyash fearing attack/invasion by Saddam. 10s of surface-to-surface missiles are the…,N,[],en,['@RamiAlLolah'],['#Assad']
161,ابو الدرداء #خلافة,YazeedDhardaa25,Observing a JIHAD NEWS mainly about Islamic State.,,904,127,5/9/2015 19:00, That's an untold story. A painful reality,O,[],en,['@jtmharreh'],[]
