,name,username,description,location,followers,numberstatuses,time,tweets,url,lang,mentions,hashtags
1230,JOIN IS NATION,JoinISNation102,"I'm back for those who miss me :) Follow Spread & Retweet the news of our Great IS Nation of Khilafah & it's conquests 4 the Free World Lovers
☆Sisters no DM☆",,873.0,91.0,2016-01-16 21:00:13,"RT : Big if confirmed, #ISIS storms #SAA brigade 137 in #DeirEzzor and controls several entrances, after several VBIEDs paved…",[],en,['@ScotMikey1111'],"['#ISIS', '#SAA', '#DeirEzzor']"
1372,abu baker aldimashqi,abubakerdimshqi,,,119.0,273.0,2016-01-20 12:00:47,"RT : No person knows what he will earn tomorrow.

Quran 31:34",[],en,['@aboud_s'],[]
1731,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392.0,743.0,2016-01-28 16:00:24,"#kweries west:
T62 #Syria army tank ended up with its complete destruction via Kornet ATGM. #ISIS ",['https://t.co/os8WcWviaa'],en,[],"['#kweries', '#Syria', '#ISIS']"
4241,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,28871.0,16838.0,2016-02-12 19:00:37, Very old. From 2014  ,['https://t.co/dIcMvA9uY3'],en,"['@NorthernStork', '@SharefSarmada']",[]
10982,كتكات كوكونة,Uncle_SamCoco,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","Texas, USA",1707.0,4992.0,2016-04-06 19:00:15,  Moi je suis là ,['https://t.co/ga2tOf05WU'],en,"['@lan_atharan', '@Qarass_news']",[]
1863,Abu_Azzam25,Abu_Azzzam25,,,35.0,118.0,2016-01-29 19:00:56,RT : Plz make dua 2 keep #FreeAnjemChoudhary &amp; #FreeAbuBaraa. They're both due to start trial today. #FreeMuslimPrisoners h…,[],en,['@MuslimPrisoners'],"['#FreeAnjemChoudhary', '#FreeAbuBaraa', '#FreeMuslimPrisoners']"
1392,Mohamed Naseem,NaseemAhmed50,"Journalist ,Seeking and spreading the truth.",Male'. Maldives.,2121.0,4992.0,2016-01-21 08:00:14,RT : When you try to liberate Palestine with hashtags and boycott: ,['https://t.co/DDfJ7J2qpx'],en,['@QassamiMarwan'],[]
1530,أبو أسامة الصومالي,CXaafada2,Degree from Tableeq(UK) | Masters from Alshabaab(Somalia) | PhD Research Fellow at Islamic State(Yemen). #IslamicState #IslamicPolitics   #Somalia #Yemen,Wilayat Hadramaut,866.0,370.0,2016-01-25 08:00:09,O my beloved brothers and sisters in Islam why live with kufars and be humiliated when its easier for you to make Hijrah? FEAR ALLAH.,[],en,[],[]
1933,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392.0,743.0,2016-01-30 08:00:00,"Hot:
Heavy losses to #Assad army as BMP vbied struck their positions in Hawqia Rashidya territory #Syria .
#ISIS",[],en,[],"['#Assad', '#Syria', '#ISIS']"
1198,JOIN IS NATION,JoinISNation102,"I'm back for those who miss me :) Follow Spread & Retweet the news of our Great IS Nation of Khilafah & it's conquests 4 the Free World Lovers
☆Sisters no DM☆",,873.0,91.0,2016-01-16 15:00:42,"Targeting the PKK elements in the village of Rumailah West Area of Ain ISA with gernads spg9 shells

#Breakingnews ",['https://t.co/7pqv8WLITa'],en,[],['#Breakingnews']
1668,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,29209.0,16688.0,2016-01-27 21:00:18,#ISIS is advancing into #Arsal #Lebanon..,[],en,[],"['#ISIS', '#Arsal', '#Lebanon']"
1420,أبو أسامة الصومالي,CXaafada2,Degree from Tableeq(UK) | Masters from Alshabaab(Somalia) | PhD Research Fellow at Islamic State(Yemen). #IslamicState #IslamicPolitics   #Somalia #Yemen,Wilayat Hadramaut,866.0,370.0,2016-01-22 17:00:01,#Kenya-n fallen 'heroes'. The fate of niggers who fight a proxy war for their masters-The West. #KDF ,['https://t.co/f3A6MZBnNZ'],en,[],"['#Kenya', '#KDF']"
1800,Marwan Qassami,QassamiMarwan,"Humanitarian, social entrepreneur, Independent media activist. Father of two lovely girls. Nature lover. With a focus on the Middle East, and North Africa.","Antas, Bahia",1593.0,908.0,2016-01-29 12:00:30,RT : Islamic State is a creation of the united states &amp; the CIA &amp; Mossad &amp; the reptilian &amp; King of Jupiter &amp; My cat.. https://t…,[],en,['@BarbeCourte'],[]
2019,Al-Battar English,Al_Battar_Engl,,,117.0,144.0,2016-01-30 19:00:54,"#IslamicState
#WilayatNinawa
Tour at #AdDawasat Street in  #Mosul 
#Caliphate_News
 ","['https://t.co/wfBfBSwCpM', 'https://t.co/aefzhBZ7KJ']",en,[],"['#IslamicState', '#WilayatNinawa', '#AdDawasat', '#Mosul', '#Caliphate_News']"
9143,NEW SHOUTOUT,Baqiyah_Khilafa,FOR SUPPORTERS OF KHILAFAH,,191.0,169.0,2016-03-24 14:00:17,#BRUSSELS ATTACKS     ,['https://t.co/cwgw4A9ANh'],en,"['@SkyNews', '@Cnn', '@BbcNews', '@Conflicts']",['#BRUSSELS']
1728,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,29209.0,16688.0,2016-01-28 15:00:07,Funny how #USA allows #Houthis to shoot down #Saudi aircarfts in #Yemen using SAMs but denies Saudi to supply #Syria|ns rebels with MANPADS!,[],en,[],"['#USA', '#Houthis', '#Saudi', '#Yemen', '#Syria']"
11619,Jazrawi_Saraqib,Jazrawi_Saraqib,,,955.0,254.0,2016-04-08 18:00:18,"RT : F


",[],en,"['@__alfresco__', '@wayf44rerr', '@wayf44rerr', '@wayf44rerr']",[]
456,al-Nusra,al_nusra,,,350.0,190.0,2015-10-19 00:00:41,🔴IMPORTANT #Anbar | the Iraqi army lost dozens of soldiers in a failed attack on IS positions #west of Ramadi,[],en,[],"['#Anbar', '#west']"
1796,s.o.dawlah,1Dawlah_III,,,632.0,333.0,2016-01-29 12:00:20,"#WilayatSalahuddin
Picture west of the city of Tikrit. 📷  ","['https://t.co/aQ5rqAyipO', 'https://t.co/1WCZ2pv8hF']",en,[],['#WilayatSalahuddin']
2050,Abu Naseeha,AbuNaseeha_03,,Wilayah Twitter,1016.0,487.0,2016-01-30 20:00:14,"RT : 📷| Friday prayers at a mosque at the area of #Zawba
 

#Muslims #IslamicState #WorldNews #IS htt…",['https://t.co/LiVBhJXl2q'],en,['@AbuHurairah_39'],"['#Zawba', '#Muslims', '#IslamicState', '#WorldNews', '#IS']"
1956,War BreakingNews,warrnews,we provide fresh news from every battlefield,world,7152.0,5929.0,2016-01-30 10:00:51,#Breaking highest battalion 1 airbone soldier killed in clashes with #ISIS in east #Aleppo. ,['https://t.co/8PCvlxXpKy'],en,[],"['#Breaking', '#ISIS', '#Aleppo']"
1749,Marwan Qassami,QassamiMarwan,"Humanitarian, social entrepreneur, Independent media activist. Father of two lovely girls. Nature lover. With a focus on the Middle East, and North Africa.","Antas, Bahia",1593.0,908.0,2016-01-28 19:00:39,"The US led coalition was able to recapture #Beiji refinery.
No the US led coalition was able to recapture its ruins:
",['https://t.co/9NHmJ7XKZ7'],en,[],['#Beiji']
141,IS_BAQIYA,BaqiyaIs,,,25.0,471.0,2015-09-05 13:00:30,el that had interview with Jowlani /s/lw9o,['http://t.co/zBqJFqjTWC'],en,[],[]
1449,s.o.dawlah,1Dawlah_III,,,632.0,333.0,2016-01-22 22:00:38,"#WilayatAlBarakah
🔧⚡Repairing the power lines in the city of Shaddadi. 📷|  ","['https://t.co/TbuKh2JOvT', 'https://t.co/SXYnmJWEc8']",en,[],['#WilayatAlBarakah']
406,Abu Hanzalah,abuhanzalah10,''Fighting has Just begun'',,128.0,47.0,2015-10-08 20:00:51,        #dieinyourrage lol,[],en,"['@CarolinaJose19', '@ninjamelonn', '@taylor_davis11', '@RSyrianCivilWar', '@krrisstenx3', '@wtfbrou', '@KatieLobosco', '@G_BeEazy']",['#dieinyourrage']
771,Asim Abu Merjem,AsimAbuMerjem,"Servant of Allah, in need of Allah's mercy !!!",,742.0,348.0,2015-12-26 17:00:12,"  Yes. Best method to stop people doing bad things are these sanctions. God created us, He know our nature best",[],en,"['@LaDonnaRae53', '@iyad_elbaghdadi']",[]
1497,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392.0,743.0,2016-01-24 08:00:57,"  Congragulate for being as Chief of #BJP again, v expect u a very hard stand against weak #Pakistan &amp; its terorist army",[],en,"['@AmitShah', '@BJPGujarat']","['#BJP', '#Pakistan']"
1561,s.o.dawlah,1Dawlah_III,,,632.0,333.0,2016-01-26 00:00:45,"#WilayatAlFallujah 
🌇 Sunset in the city of Fallujah. 📷  ","['https://t.co/H4VOvzFeE7', 'https://t.co/lmVHRZGym8']",en,[],['#WilayatAlFallujah']
1634,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392.0,743.0,2016-01-27 09:00:50,"#Anbar #Iraq :
Photos f two col recently killed by #ISIS ",['https://t.co/grC8mJTOdU'],en,[],"['#Anbar', '#Iraq', '#ISIS']"
1732,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392.0,743.0,2016-01-28 16:00:45,"One f #YPG militants during VICE news interview at #Sinjar telling ""We can fight for americans anywhere they want us if they give us 💰 &amp; 🔫s""",[],en,[],"['#YPG', '#Sinjar']"
1360,s.o.dawlah,1Dawlah_III,,,632.0,333.0,2016-01-20 05:00:31,"#WilayatArRaqqah 
Explaining the reality of scholar of thawaghit to Muslims in Hazimah. 📷  ","['https://t.co/fXiNJFamIR', 'https://t.co/srcEceXST0']",en,[],['#WilayatArRaqqah']
1976,War BreakingNews,warrnews,we provide fresh news from every battlefield,world,7152.0,5929.0,2016-01-30 14:00:09,"Ceiling collapses on Palestinians during funeral for Hamas tunnel diggers 

Problems appear to be coming in... ",['https://t.co/8ShcnzB556'],en,[],[]
1797,Marwan Qassami,QassamiMarwan,"Humanitarian, social entrepreneur, Independent media activist. Father of two lovely girls. Nature lover. With a focus on the Middle East, and North Africa.","Antas, Bahia",1593.0,908.0,2016-01-29 12:00:26,RT : #Anbar : Iraqi Sahwa commander Isa Hamid al-Alwani died after being wounded by an IED explosion in central #Ramadi https://…,[],en,['@wayf44rer_'],"['#Anbar', '#Ramadi']"
2033,War BreakingNews,warrnews,we provide fresh news from every battlefield,world,7152.0,5929.0,2016-01-30 20:00:08,Seriously? ,['https://t.co/AVu19zanMS'],en,[],[]
1810,Al-Battar English,Al_Battar_Engl,,,117.0,144.0,2016-01-29 15:00:29," 

2/2

 

#Caliphate_News",['https://t.co/qM9hNuANNv'],en,['@Al_Battar_Engl'],['#Caliphate_News']
1900,Al-Battar English,Al_Battar_Engl,,,117.0,144.0,2016-01-29 22:00:55," the area of #AlAdhiem

",['https://t.co/waMUf1gIJj'],en,['@Al_Battar_Engl'],['#AlAdhiem']
217,ابو الدرداء #خلافة,YazeedDhardaa25,Observing a JIHAD NEWS mainly about Islamic State.,,823.0,127.0,2015-09-15 14:00:18,RT : No need to worry about #Russia|n 'invasion' in #Syria. One Friday sermon in #Mecca declaring 'Defensive Jihad' is more tha…,[],en,['@RamiAlLolah'],"['#Russia', '#Syria', '#Mecca']"
1453,Mohamed Naseem,NaseemAhmed50,"Journalist ,Seeking and spreading the truth.",Male'. Maldives.,2121.0,4992.0,2016-01-23 07:00:35,My best RTs this week came from:   #thankSAll Who were yours? ,['https://t.co/81yvekAHba'],en,"['@dhivehistan', '@mahatmadeen3237']",['#thankSAll']
12649,Dragontail2,saifulakhir,hater please dont follow,"Singaparna, Indonesia",35.0,243.0,2016-04-15 13:00:03,"(2 CANADIAN, A NORWEGIAN AND A FILIPINO) THAT THEY WILL BE BEHEADING ONE OF THE HOSTAGES IF THEIR DEMAND WILL NOT BE MET BY THEIR RESPECTIVE",[],en,[],[]
492,The Witnesser,Bajwa47online,"The Dust Will Never Settle Down  
                   
                                                   
(Abu Talhah)",,427.0,1953.0,2015-10-25 07:00:17,RT : #Putin just before downing 'wanna-be ISIS Arab Israeli' with karate chop to the face in hang-glider duel over Syria https:/…,[],en,['@finriswolf'],['#Putin']
1405,Maisara al-Ghereeb,maisaraghereeb,"Jihad is not terrorism, it's written in the Qur'an.",EU,197.0,1561.0,2016-01-21 20:00:38,"RT : IMAGE: Surface-to-surface missile fired at al-Bab city, #Aleppo, by pro-#Assad #Russian occupation forces. https://t.co…",[],en,['@HadiAlabdallah'],"['#Aleppo', '#Assad', '#Russian']"
2027,Al-Battar English,Al_Battar_Engl,,,117.0,144.0,2016-01-30 20:00:03," 
2/2
 on the road between the towns of #El_Arish and #Sheikh_zwayd



#Caliphate_News",['https://t.co/IhR8psNHry'],en,['@Al_Battar_Engl'],"['#El_Arish', '#Sheikh_zwayd', '#Caliphate_News']"
469,The Witnesser,Bajwa47online,"The Dust Will Never Settle Down  
                   
                                                   
(Abu Talhah)",,427.0,1953.0,2015-10-21 18:00:13,"  in my regional language, khusra means: Gay",[],en,"['@Jazrawi_3ooud', '@Muhammad_Andals']",[]
12,GunsandCoffee,GunsandCoffee70,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,,640.0,49.0,2015-01-22 20:00:14,ENGLISH TRANSLATION- SHEIKH ABU HASAN AL KUWAITI (HA) ADVICE OF NABI S.A.W TO THE MUJAHIDEEN:  ,"['https://t.co/QcKBdeCdty', 'http://t.co/SUDbVtQtTG']",en,[],[]
1944,War BreakingNews,warrnews,we provide fresh news from every battlefield,world,7152.0,5929.0,2016-01-30 09:00:38,Family in #Tunisia threatening to commit suicide because of unemployment and poverty ,['https://t.co/bN0QQKsk4x'],en,[],['#Tunisia']
1773,الولاء البراء,Alwala_bara,we hear & we obey..& those are the successful .. [24:51],أسير الدنيا,411.0,232.0,2016-01-29 08:00:06,"RT : Aamaq:
School &amp; mosque destroyed in coalition bombardment west of #Fallujah.. #IslamicState
 https://t.c…",['https://t.co/4xBFYvb8dQ'],en,['@apb_is'],"['#Fallujah', '#IslamicState']"
1648,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,29209.0,16688.0,2016-01-27 17:00:23,#ISIS takes full control on ALGECO residential complex west of #Samarra according to #Aamaq news agency.. #Iraq,[],en,[],"['#ISIS', '#Samarra', '#Aamaq', '#Iraq']"
13007,wayf44rer,wayf44rerr,News of Maghreb and Mashreq,Middle of Nowhere,1138.0,324.0,2016-04-19 19:00:05, lovely,[],en,['@Adamqamish3'],[]
1363,abdlrhmn,abdlrhmn15,Do And Die only for ISLAM,,24.0,144.0,2016-01-20 09:00:47,"RT : Live: Terrorist attack at Bacha Khan University in #Pakistan; 3000 students trapped
",['https://t.co/XaIzhga7FG'],en,['@abpnewstv'],['#Pakistan']
1501,Mohamed Naseem,NaseemAhmed50,"Journalist ,Seeking and spreading the truth.",Male'. Maldives.,2121.0,4992.0,2016-01-24 12:00:28,"Massive blizzard paralyzes New York and Washington, 19 dead  via ",['https://t.co/PUYQStdi5g'],en,['@Reuters'],[]
2901,Abu Humayra,abuhumayra4,‏إِنَّ صَلَاتِي وَنُسُكِي وَمَحْيَايَ وَمَمَاتِي لِلَّهِ رَبِّ الْعَالَمِينَ,Among The Muslims,166.0,129.0,2016-02-04 17:00:41,"RT : 😍
",['https://t.co/XSDQjXzcnf'],en,['@scent_of_musk'],[]
1893,Al-Battar English,Al_Battar_Engl,,,117.0,144.0,2016-01-29 22:00:37,"Reports: Tens of Assadist fighters killed as violent fighting ongoing inside Deir Ezzor airbase

#Caliphate_News",[],en,[],['#Caliphate_News']
1346,s.o.dawlah,1Dawlah_III,,,632.0,333.0,2016-01-20 02:00:05,"#WilayatDimashq
🔫 Terminating two Nusayris agents in the city of al-Qarytain. 📷  ","['https://t.co/eXMQ18Iwh3', 'https://t.co/VUDxCMTqCw']",en,[],['#WilayatDimashq']
239,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362.0,798.0,2015-09-23 14:00:41,  nice to hear that!,[],en,"['@WakasFahad10', '@lionerr20']",[]
1299,s.o.dawlah,1Dawlah_III,,,632.0,333.0,2016-01-19 06:00:19,"#WilayatAlJazirah 
The work of Service Center in the town of Mahlabiyyah. 📷  ","['https://t.co/OjlheWhFuK', 'https://t.co/3sBzsFe2Cl']",en,[],['#WilayatAlJazirah']
8065,الهنود الحمر كوكونة,Uncle_SamCoco,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","Texas, USA",1557.0,4010.0,2016-03-17 00:00:52, ,['https://t.co/ijTXYqMAX4'],en,['@A_Mehdi_The'],[]
1549,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392.0,743.0,2016-01-25 18:00:41,"Hey  and  plz turn to true christianity at least!
B a christian at least not a corporate ",['https://t.co/EFY4HxG7g4'],en,"['@BarackObama', '@realDonaldTrump']",[]
1852,٩ Flames of Haqq,Witness_alHaqq,,,605.0,115.0,2016-01-29 18:00:34,"RT : Retweeted Cairo Review ():

Read 's profile of ISIS leader Abu Bakr Al-Baghdadi:... https://…",[],en,"['@abdelbariatwan', '@CairoReview', '@abdelbariatwan']",[]
1308,abdlrhmn,abdlrhmn15,Do And Die only for ISLAM,,24.0,144.0,2016-01-19 10:00:45,RT : It is more rewarding this way. Make dua. Speak to Allah swt ,['https://t.co/LDjebBrvZa'],en,['@Ayisha_Bengali_'],[]
1688,s.o.dawlah,1Dawlah_III,,,632.0,333.0,2016-01-28 05:00:44,"#WilayatHims 
📰 Distributing An Naba' newsletter to citizen in the city of Sukhnah. 📷  ","['https://t.co/qCeGk1nfE5', 'https://t.co/UeCuWsKgRI']",en,[],['#WilayatHims']
1302,Maghrabi Arabie,MaghrabiArabi,"I'm not a terrorist , just an Islamic Analyst watching events in the ME. Not affiliated with IS or AlQaeda",Dunya,158.0,607.0,2016-01-19 07:00:41,  I see you are shi3iya don't talk to me ever again have nice day.,[],en,"['@AliraqiaAngel', '@Reuters']",[]
4065,Ansar al-Khilafah,ansarakhilafa,,,651.0,86.0,2016-02-11 22:00:33,"PLEASE BLOCK &amp; REPORT....
⬇️⬇️⬇️⬇️




","['https://t.co/fiGhPuTzb0', 'https://t.co/cogZNieFmK']",en,"['@infosensible57', '@infosensible57']",[]
1300,Mohamed Naseem,NaseemAhmed50,"Journalist ,Seeking and spreading the truth.",Male'. Maldives.,2121.0,4992.0,2016-01-19 06:00:31,"I have 43 new followers from Indonesia, and more last week. See  ","['https://t.co/5KlvSQHAd8', 'https://t.co/vL4ZMMLMyD']",en,[],[]
1450,Asim Abu Merjem,AsimAbuMerjem,"Servant of Allah, in need of Allah's mercy !!!",,742.0,348.0,2016-01-22 23:00:08,"RT : UNBELIEVABLE destruction
Israel wipe out an entire residential neighborhood in #Gaza - war crimes
MUST WATCH &amp; SHARE htt…",[],en,['@BaselAbuwarda'],['#Gaza']
4219,PROPHET'S KHILĀFA,Battar_English,,,137.0,148.0,2016-02-12 19:00:06,RT : ,['https://t.co/eHbnaLDJXP'],en,['@BatInfo147'],[]
5295,Khilafah Superstate,ks48a174031,48 Account,,69.0,17.0,2016-02-23 13:00:37,"RT : ASSALAAM ALAYKUM .

SUPORT AND RETWEET :







…",[],en,"['@hajar_cantlie', '@xissyi', '@DriftOne071', '@atruaz181', '@_Muslimah_007', '@News_tracker_', '@mustafaklash52']",[]
3206,Asim Abu Merjem,AsimAbuMerjem,"Servant of Allah, in need of Allah's mercy !!!",,742.0,348.0,2016-02-05 21:00:03, ,[],en,"['@MiddleEastEye', '@warrnews']",[]
1455,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392.0,743.0,2016-01-23 10:00:22,"Breaking:Hot:
#Anbar West #Ramadi kilo70:
70 #Iraq soldiers killed in deadliest bombing f #ISIS .",[],en,[],"['#Anbar', '#Ramadi', '#Iraq', '#ISIS']"
12099,Mohamed Naseem,NaseemAhmed50,"Former journalist ,Seeking and spreading the truth.",Male'. Maldives.,2230.0,5241.0,2016-04-12 17:00:26, I am from Maldives.,[],en,['@Abu_Air_Craft1'],[]
1678,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,29209.0,16688.0,2016-01-27 22:00:07,#BreakingNews First #video footage of the crashed #Egypt|ian F-16 jet on the runway of airbase near #Ismailia ,['https://t.co/ZUfw6UqqHg'],en,[],"['#BreakingNews', '#video', '#Egypt', '#Ismailia']"
1711,الولاء البراء,Alwala_bara,we hear & we obey..& those are the successful .. [24:51],أسير الدنيا,411.0,232.0,2016-01-28 12:00:30,RT : More Women then ever travels with their children to live in #IS Caliphate after they are convinced. #Pakistan #India https:/…,[],en,['@abotalut4'],"['#IS', '#Pakistan', '#India']"
10322,كتكات كوكونة,Uncle_SamCoco,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","Texas, USA",1670.0,4705.0,2016-03-31 20:00:47,"    Please foolding me, TAKE ME OUTSIDE OF YOUR DIALOGUE THANKS !",[],en,"['@2fast2igor', '@JanJansenBeast', '@DeriChaw', '@YusuF90192469']",[]
1639,Abu Humayra,abuhumayra4,‏إِنَّ صَلَاتِي وَنُسُكِي وَمَحْيَايَ وَمَمَاتِي لِلَّهِ رَبِّ الْعَالَمِينَ,Among The Muslims,193.0,103.0,2016-01-27 13:00:03,"RT : The Prophet ﷺ:
A woman was created from a rib and if you try to straighten a rib it will break, so treat women kindly.…",[],en,['@UmmUbaydullah17'],[]
950,Maghrabi Arabie,MaghrabiArabi,"I'm not a terrorist , just an Islamic Analyst watching events in the ME. Not affiliated with IS or AlQaeda",Dunya,158.0,607.0,2016-01-05 22:00:39,RT : The Islamic State are working on driverless car bombs. Watch in full at  ,"['https://t.co/GI8QBUQMGW', 'https://t.co/xgkCCAHcR8']",en,['@SkyNews'],[]
14923,one who believes,ro34th,"Torah Observant, follower of the Prophet Yeshua the Messiah. husband father granpa average cod/bf player on a ps4 i also take prayer requests just dm me.",dar al-kufr,1423.0,32986.0,2016-05-01 17:00:40,"RT : BREAKING NEWS
Kurdistan Freedom Falcons (TAK) claims responsibility for Thursday's #Bursa suicide bombing which killed one…",[],en,['@AylinaKilic'],['#Bursa']
1643,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392.0,743.0,2016-01-27 15:00:55,Supported by VBIED #ISIS assaulted #Iraq forces n north #Fallujah todays morning. Casualties figures unknown. ,['https://t.co/wHN58fV6uP'],en,[],"['#ISIS', '#Iraq', '#Fallujah']"
1694,s.o.dawlah,1Dawlah_III,,,632.0,333.0,2016-01-28 06:00:23,"#WilayatNorthBaghdad
📷 | The bombing of the barracks of Safavid army at Siyatak area and complex of Aljiku. ",['https://t.co/FBF0NRjWZP'],en,[],['#WilayatNorthBaghdad']
835,Maghrabi Arabie,MaghrabiArabi,"I'm not a terrorist , just an Islamic Analyst watching events in the ME. Not affiliated with IS or AlQaeda",Dunya,158.0,607.0,2015-12-31 06:00:12,"#Morocco plays key role in Europe’s security
 ","['https://t.co/4dQJpO7UYz', 'https://t.co/S7o0TJemGb']",en,[],['#Morocco']
1971,Marwan Qassami,QassamiMarwan,"Humanitarian, social entrepreneur, Independent media activist. Father of two lovely girls. Nature lover. With a focus on the Middle East, and North Africa.","Antas, Bahia",1593.0,908.0,2016-01-30 13:00:24,"RT : #Anbar : Iraqi Abrams tank, minesweeper and Humvee were destroyed by several IEDs explosions in Soufiya neighborhood of eas…",[],en,['@wayf44rer_'],['#Anbar']
1592,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,29209.0,16688.0,2016-01-26 15:00:17,#Aamaq: Two #Israel|i army helicopters crossed into #Egypt|ian airspace and bombed #ISIS position south Sheikh Zuweid in #Sinai,[],en,[],"['#Aamaq', '#Israel', '#Egypt', '#ISIS', '#Sinai']"
2080,Abu Naseeha,AbuNaseeha_03,,Wilayah Twitter,1016.0,487.0,2016-01-31 03:00:38, from 6 min to around 10 minutes,[],en,['@AbuNaseeha_03'],[]
690,Asim Abu Merjem,AsimAbuMerjem,"Servant of Allah, in need of Allah's mercy !!!",,742.0,348.0,2015-12-16 09:00:17,"RT : Kerry in Moscow: ""The United States and our partners are not seeking regime change in Syria.”",[],en,['@MarquardtA'],[]
3416,Abu Humayra,abuhumayra4,‏إِنَّ صَلَاتِي وَنُسُكِي وَمَحْيَايَ وَمَمَاتِي لِلَّهِ رَبِّ الْعَالَمِينَ,Among The Muslims,190.0,182.0,2016-02-06 19:00:18,"RT : 📢


",[],en,"['@__aldente__', '@lovelyflower212', '@lovelyflower212', '@lovelyflower212']",[]
11770,Plea Of the Ummah!,pleaoftheummah,"Plea of the Ummah!
Ummathuge Aadheys!
A Campaign by Jamiyyathul Bayan.",,93.0,1073.0,2016-04-10 06:00:27,"An eye for an eye, justice is served when Qisas is taken. ",['https://t.co/B3Hg0eyBON'],en,[],[]
1912,Marwan Qassami,QassamiMarwan,"Humanitarian, social entrepreneur, Independent media activist. Father of two lovely girls. Nature lover. With a focus on the Middle East, and North Africa.","Antas, Bahia",1593.0,908.0,2016-01-29 23:00:16,"Islamic state group released 6 Christians today, they arrive safely in #qamishli: ",['https://t.co/LfGx0CwMZr'],en,[],['#qamishli']
1759,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392.0,743.0,2016-01-28 20:00:43,Some spoils from #Samrra which #ISIS group captured f #Iraq forces. ,['https://t.co/PfpVmUucqU'],en,[],"['#Samrra', '#ISIS', '#Iraq']"
1999,Abu Humayra,abuhumayra4,‏إِنَّ صَلَاتِي وَنُسُكِي وَمَحْيَايَ وَمَمَاتِي لِلَّهِ رَبِّ الْعَالَمِينَ,Among The Muslims,193.0,103.0,2016-01-30 18:00:03,"RT : Make sure to check the Hashes

&gt;&gt; 

","['https://t.co/JwZG0ZDmDq', 'https://t.co/yYVwb8eOpT']",en,['@AbuNaseeha_03'],[]
1081,Maisara al-Ghereeb,maisaraghereeb,"Jihad is not terrorism, it's written in the Qur'an.",EU,197.0,1561.0,2016-01-12 20:00:23,Shia militias assassinated 2 Sunni journalists in Diyala province,[],en,[],[]
